emp_no,first_name,last_name,dept_name
10768,Ishfaq,Candan,Production
10778,Selwyn,Merey,Marketing
10791,Tadahiko,Sgarro,Development
10795,Supot,Naudin,Sales
10808,Chenxi,Leijenhorst,Development
10811,Ashish,Fortenbacher,Production
10813,Shalesh,Shumilov,Sales
10814,Nidapan,Dymetman,Sales
10826,Arnd,Anandan,Development
10827,Willard,Danley,Finance
10830,Fen,Fiebach,Marketing
10831,Toong,Driscoll,Development
10833,Krisda,Gecseg,Quality Management
10834,Huiqun,Rajcani,Production
10835,Tomoyuki,Kermarrec,Production
10836,Jianhua,Leivant,Sales
10836,Jianhua,Leivant,Customer Service
10844,Dipayan,Koprowski,Development
10846,Tokuyasu,Serre,Development
10846,Tokuyasu,Serre,Research
10847,Theirry,Danley,Research
10848,Fen,Bratsberg,Production
10849,Makato,Mayerwieser,Development
10854,Jagoda,Nannarelli,Development
10858,Kenroku,Gonthier,Development
10871,Aram,Gilg,Customer Service
10872,Karoline,Speel,Finance
10873,Sukumar,Wegerle,Finance
10878,Lakshmi,Deville,Sales
10879,Muzhong,Chleq,Development
10882,Fun,Heuser,Development
10883,Shimshon,Champarnaud,Production
10885,Rayond,Cronau,Sales
10885,Rayond,Cronau,Marketing
10887,Lunjin,DeMori,Development
10900,Ferdinand,Prenel,Development
10906,Munehiro,Carrere,Sales
10906,Munehiro,Carrere,Finance
10909,Georgi,Atchley,Development
10913,Narain,Thummel,Finance
10920,Ronghao,Narahara,Human Resources
10921,Mara,Bahi,Production
10924,Hironoby,Atchley,Sales
10926,Leni,Eppinger,Production
10926,Leni,Eppinger,Customer Service
10927,Gal,Scallan,Marketing
10930,Arch,Minakawa,Production
10932,Avishai,Picci,Development
10936,Mountaz,Schicker,Human Resources
10942,Toshimitsu,Larfeldt,Development
10943,Berna,Skafidas,Development
10944,Remko,Zyda,Production
10947,Gor,Usery,Customer Service
10949,Shigeichiro,Wroclawski,Finance
10956,Arno,Picel,Development
10956,Arno,Picel,Production
10965,Eckart,Braunschweig,Sales
10969,Premal,Noriega,Development
10974,Muneo,Papsdorf,Development
10986,Masako,Schiper,Development
10987,Flemming,Baezner,Development
10988,Chinya,Deyuan,Development
10989,Sumali,Candan,Finance
10990,Shin,Foote,Development
10996,Matk,Rahimi,Sales
11004,JoAnna,Decleir,Production
11004,JoAnna,Decleir,Quality Management
11009,Alper,Axelband,Sales
11012,Taegyun,Speckmann,Customer Service
11012,Taegyun,Speckmann,Marketing
11019,Leon,Huttel,Development
11021,Srinidhi,Henders,Research
11027,Remzi,Cappello,Production
11031,Ottavia,Walstra,Marketing
11032,Erez,Schaaf,Customer Service
11032,Erez,Schaaf,Development
11037,Lansing,Maliniak,Production
11038,Jinya,Beidas,Research
11042,Gou,Breugel,Development
11048,Jaques,Demke,Sales
11050,Elvis,Katiyar,Marketing
11051,Przemyslawa,Erol,Production
11056,Palash,Speel,Sales
11061,Pintsang,Erni,Sales
11061,Pintsang,Erni,Finance
11064,Shawna,Vieri,Production
11066,Shaz,Langford,Finance
11070,Adib,Raney,Quality Management
11071,Kwan,Sigstam,Development
11075,Karsten,Belinskaya,Production
11079,Piyush,Garigliano,Development
11081,Barry,Boyle,Finance
11083,Shimshon,Ducloy,Human Resources
11083,Shimshon,Ducloy,Finance
11084,Greger,Senzako,Production
11085,Hailing,Thummel,Production
11087,Changho,Jayawardene,Production
11089,Conal,Henders,Sales
11091,Souichi,Ramsay,Production
11092,Narain,Stamatiou,Marketing
11092,Narain,Stamatiou,Sales
11098,Arnd,Covnot,Development
11100,Berna,Cochrane,Research
11106,Aris,Iwayama,Development
11111,Udi,Zastre,Production
11112,Boaz,Mukaidono,Customer Service
11113,Shahab,Peng,Marketing
11121,Vugranam,Kakkad,Development
11130,Xinyu,Menhoudj,Human Resources
11132,Kristin,Harnett,Production
11133,Nalini,Azulay,Quality Management
11134,Sachar,Rajcani,Quality Management
11137,Hugh,Luca,Development
11139,Bogdan,Homond,Customer Service
11143,Yongdong,Rosen,Development
11144,Carrsten,Heinisuo,Sales
11146,Ishfaq,Masand,Sales
11147,Ayonca,Nitsch,Development
11148,Zhanqiu,Botman,Human Resources
11148,Zhanqiu,Botman,Finance
11158,Masaki,Hagimont,Production
11162,Kauko,Narlikar,Development
11168,Shmuel,Tetzlaff,Sales
11170,Minghong,Cannard,Development
11174,Akhilish,Milicia,Production
11177,Chrisa,dAstous,Development
11180,Mitsuyuki,Bojadziev,Development
11181,Hausi,Cullers,Development
11185,Aloys,Baezner,Customer Service
11186,Kshitij,Stasinski,Production
11189,Dante,Bodoff,Sales
11192,Apostol,Bahr,Quality Management
11197,Tadahiro,Fordan,Sales
11201,Jouko,Masaki,Research
11204,Diederik,Covnot,Production
11207,Saeed,Gips,Development
11208,Saniya,Valtorta,Production
11211,Yurij,Rissland,Production
11213,Vugranam,Munoz,Production
11217,Kellie,Mawatari,Production
11229,Gretta,Ramamoorthy,Quality Management
11229,Gretta,Ramamoorthy,Production
11232,Hidefumi,Crelier,Customer Service
11233,Sanjit,Waschkowski,Development
11240,Kiam,Condotta,Development
11243,Udi,Desikan,Production
11249,Randi,Cyre,Development
11251,Bezalel,Chinal,Marketing
11253,Koldo,Pokrovskii,Development
11254,Danel,Rindone,Sales
11258,Aris,Maccarone,Customer Service
11266,Florina,Rohrbach,Quality Management
11267,Shaunak,Zaumen,Development
11267,Shaunak,Zaumen,Research
11268,Aimee,Petersohn,Production
11274,Masanao,Nicolson,Customer Service
11275,Hitomi,Eppinger,Development
11289,Chuanti,Cherinka,Development
11290,Visit,Dredge,Development
11292,Souichi,Sichman,Development
11294,Tru,Segond,Development
11295,Abdelkader,Lanzelotte,Finance
11296,Hironobu,Kenevan,Production
11301,Mingzeng,Oxenboll,Human Resources
11317,Shigeaki,Hagimont,Research
11317,Shigeaki,Hagimont,Development
11319,Pranas,Marrakchi,Development
11320,Atilio,McAlpine,Marketing
11322,Nathalie,Pocchiola,Quality Management
11324,Kauko,Billingsley,Production
11325,Samphel,Rossi,Development
11326,Munenori,Plesums,Development
11338,Kwangsub,Hanratty,Sales
11339,Flemming,Massonet,Production
11340,Aris,Bala,Production
11343,Susanne,Erez,Development
11347,Anneli,Jonsson,Development
11349,Yurii,Hammerschmidt,Production
11360,Fen,Schach,Sales
11365,Toshimi,Shinomoto,Production
11373,Yongmao,Keohane,Customer Service
11376,Valery,Suomi,Research
11380,Kenroku,Pelc,Development
11385,Shiv,Ullian,Production
11386,Alselm,Assaf,Quality Management
11393,Junsik,Junot,Production
11396,Anneke,Servieres,Development
11398,Oscar,Peir,Finance
11401,Huan,Merey,Sales
11404,Bedrich,Borovoy,Development
11406,Eberhardt,Gini,Research
11410,Gro,Vendrig,Development
11415,Sanjiv,Anido,Production
11417,Anneli,Cyne,Quality Management
11418,Satosi,Cooley,Marketing
11418,Satosi,Cooley,Human Resources
11420,Tsutomu,Lalonde,Human Resources
11421,Josyula,Msuda,Production
11423,Guangming,Kopetz,Customer Service
11425,Renee,Crelier,Development
11441,Marlo,Aingworth,Sales
11446,Naftali,Narahara,Quality Management
11446,Naftali,Narahara,Development
11449,Kotesh,Asser,Production
11451,Eben,Rajaraman,Production
11452,Shigehito,Luby,Customer Service
11459,Duke,Suomi,Human Resources
11460,Mana,Maraist,Production
11469,Guttorm,Giaccio,Production
11474,Gennady,Akazan,Quality Management
11474,Gennady,Akazan,Production
11476,Manton,Yoshizawa,Marketing
11479,Shridhar,Pleszkun,Finance
11503,Nathan,Picht,Development
11506,Rance,Picel,Sales
11509,Aleksander,Feldhoffer,Development
11513,Otmar,Mahnke,Finance
11515,Ulf,Basawa,Sales
11518,Jinxi,Oxman,Human Resources
11519,Halsur,Chinen,Sales
11523,Yuguang,Pezzoli,Development
11524,Xiadong,Standera,Development
11527,Alagu,Boyle,Marketing
11528,Zito,Dolinsky,Production
11531,Radhika,Motley,Production
11533,Vitaly,Lorch,Development
11537,DAIDA,Pehl,Sales
11540,Chanjung,Portugali,Production
11554,Subhash,Taubenfeld,Marketing
11554,Subhash,Taubenfeld,Human Resources
11555,Kotesh,Perfilyeva,Human Resources
11567,Teiji,Mitzlaff,Sales
11568,Martins,Fujisaki,Development
11573,Pranas,Hutton,Development
11575,Godehard,Plotkin,Development
11577,Mayumi,Deyuan,Quality Management
11581,Patricio,Rosenbaum,Development
11587,Shem,Zambonelli,Development
11589,Gina,Plessier,Development
11595,Takanari,Kamber,Marketing
11596,Yannik,Gunderson,Finance
11602,Somnath,Malabarba,Marketing
11603,Herb,Swen,Finance
11606,Perry,Pepe,Customer Service
11607,Tomokazu,Foong,Production
11615,Shem,Isaak,Sales
11616,Zhilian,Brendel,Production
11624,Adil,Gammage,Production
11628,Fan,Malinowski,Research
11628,Fan,Malinowski,Development
11640,Valeri,Coorg,Development
11641,Chikako,Rothenberg,Development
11644,Sanjit,Zaiane,Production
11646,Lobel,Rubsam,Development
11647,Magy,Nitsche,Development
11649,Shen,Bernardinello,Research
11649,Shen,Bernardinello,Development
11660,Gill,Stenning,Sales
11664,Oksana,Brizzi,Sales
11667,Kristian,Marchegay,Marketing
11673,Henk,Felder,Production
11676,Valeri,Ferriere,Production
11681,Fumitake,Benzmuller,Production
11684,Oksana,Gide,Marketing
11690,Domenick,Raczkowsky,Human Resources
11693,Hideo,Coorg,Development
11696,Dante,Rothe,Sales
11713,Danel,Heusch,Production
11713,Danel,Heusch,Quality Management
11732,Sanjoy,Ranft,Customer Service
11732,Sanjoy,Ranft,Production
11733,Leszek,Sudbeck,Development
11735,Amalendu,Picci,Customer Service
11736,Shugo,Uchoa,Production
11737,Martina,Garnier,Quality Management
11746,Koichi,Marrakchi,Sales
11748,Lihong,Massonet,Development
11751,Jiafu,Emiris,Research
11756,Abdelwaheb,Vakili,Development
11763,Yuriy,Liesche,Development
11764,Sanjay,Anick,Production
11765,Zorica,Junet,Human Resources
11769,Chandrasekaran,Lampe,Development
11769,Chandrasekaran,Lampe,Research
11770,Arumugam,Jakobus,Development
11772,Gaurav,Penz,Development
11774,Aron,Wroclawski,Production
11778,Dhritiman,Fontan,Production
11779,Shunichi,Thombley,Research
11791,Gal,Mamelak,Development
11797,Chenxi,Thambidurai,Marketing
11797,Chenxi,Thambidurai,Sales
11801,Tommaso,Dayang,Sales
11807,Chriss,Binding,Customer Service
11807,Chriss,Binding,Production
11810,Amabile,Bhattacharjee,Development
11811,Herb,Boissier,Sales
11817,Niranjan,Markovitch,Sales
11822,Sastry,Madeira,Customer Service
11823,Weiyi,Iacovou,Development
11823,Weiyi,Iacovou,Research
11829,Chaosheng,Pettis,Production
11832,Arto,Zlotek,Development
11836,Ortrud,Bakhtari,Research
11841,Elvia,Bugrara,Marketing
11841,Elvia,Bugrara,Customer Service
11842,Moto,Piazza,Research
11844,Shawna,Demeyer,Development
11846,Fai,Perly,Production
11853,Zeljko,Kusakabe,Marketing
11857,Divier,Farrag,Sales
11862,Alejandra,Deville,Quality Management
11862,Alejandra,Deville,Production
11864,Pradeep,Kriebel,Customer Service
11868,Kwee,Demke,Quality Management
11869,Fumino,Luca,Production
11871,Nalini,Sommen,Development
11872,Cheong,Riexinger,Marketing
11876,Leszek,Kobuchi,Development
11881,Arra,Staelin,Sales
11888,Badri,Azulay,Marketing
11894,Mitchel,Validov,Development
11896,Shaunak,Benzmuller,Production
11897,Cordelia,Setlzner,Sales
11906,Hideo,Boguraev,Development
11911,Ashish,Mondadori,Development
11915,Miomir,Mawatari,Production
11917,Jiakeng,VanScheik,Production
11926,Leni,Felcyn,Production
11931,Gunilla,Chiodo,Research
11933,Basil,Erman,Development
11938,Aruna,Verspoor,Production
11938,Aruna,Verspoor,Customer Service
11940,Ult,Anido,Development
11944,Along,Aumann,Quality Management
11945,Limsoon,Marakhovsky,Human Resources
11948,Yahiko,Nergos,Production
11948,Yahiko,Nergos,Customer Service
11949,Martijn,Harbusch,Production
11951,Bernt,Haumacher,Development
11965,Arup,Morrey,Production
11972,Sibyl,Beausoleil,Marketing
11980,Yechezkel,Pews,Sales
11983,Jaana,Hedayat,Development
11989,Erzsebet,Peltason,Production
11993,Marit,Dalphin,Human Resources
11994,Sigeru,Fiebach,Marketing
12007,Marko,Dehkordi,Development
12011,Zhilian,Coorg,Sales
12015,Kensei,Guenter,Research
12021,Chikara,Rahimi,Production
12023,Chuanyi,Eppinger,Quality Management
12024,Mayumi,Lanzelotte,Human Resources
12028,Ingemar,Walstra,Development
12030,Shuky,Cromarty,Human Resources
12034,Aemilian,Piazza,Sales
12036,Mads,Ratzlaff,Marketing
12036,Mads,Ratzlaff,Sales
12037,Arunas,Katzenelson,Customer Service
12040,Bluma,Kermarrec,Marketing
12043,Masaki,Lubachevsky,Research
12044,Rance,Hemaspaandra,Production
12047,Jordanka,Ligten,Quality Management
12050,Yuchang,Tchuente,Production
12053,Yechezkel,Pelc,Production
12054,Odysseas,Braccini,Sales
12060,Toshimi,Antonakopoulos,Quality Management
12062,Margareta,Worfolk,Human Resources
12063,Lein,Bale,Production
12069,Ayonca,Burnard,Development
12070,Ger,Shokrollahi,Development
12076,Karlis,Siprelle,Sales
12080,Panayotis,Feinberg,Sales
12082,Xinan,Yamaashi,Sales
12089,Bilhanan,Socorro,Human Resources
12090,Shigenori,Angelopoulos,Production
12091,Lansing,Cunliffe,Quality Management
12092,Kauko,Unno,Research
12093,Evgueni,Oxenboll,Development
12094,Weiru,Pearson,Customer Service
12099,Nobuyoshi,Kuzuoka,Sales
12102,Aron,Erde,Sales
12112,Satyanarayana,Avouris,Finance
12114,Shiv,Rubsam,Research
12122,Satoru,Krone,Production
12123,Xiahua,Syrzycki,Research
12125,Shounak,Erman,Development
12125,Shounak,Erman,Production
12138,Takahito,Brender,Production
12140,Xudong,Paciorek,Human Resources
12149,Suebskul,Grandbois,Sales
12159,Shem,Perly,Development
12160,Aamer,Garrabrants,Sales
12164,Muneo,Chachaty,Development
12165,Xiaobin,Maquelin,Development
12168,Arnd,Salverda,Customer Service
12172,Jianhua,Llado,Human Resources
12174,Slavian,Plavsic,Development
12183,Harngdar,Iisaku,Quality Management
12186,Guther,Nooteboom,Customer Service
12190,Abdulah,Engberts,Development
12191,Rosella,Bazzichi,Production
12192,Feiyu,Klyachko,Quality Management
12205,Sushant,Rossi,Development
12206,Barton,Janetzko,Development
12210,Vugranam,Ashish,Research
12213,Kwangho,Brizzi,Sales
12216,Aloke,Mansanne,Quality Management
12218,Yaghout,Strooper,Quality Management
12219,Junsik,Gadepally,Research
12221,Vincent,Melter,Development
12222,Abdelwaheb,Holburn,Finance
12223,Niteen,Koyama,Production
12230,Yuriy,Bellone,Development
12231,Nishit,Bharadwaj,Production
12235,Honesty,Haumacher,Sales
12242,Satoru,Wolniewicz,Development
12247,Subbu,Penttonen,Development
12249,Eldridge,Sadowski,Development
12250,Kerhong,Aloia,Development
12256,Guadalupe,Reghbati,Human Resources
12258,Kankanahalli,Eiter,Development
12264,Mart,Pagter,Development
12269,Mohammed,Whitcomb,Production
12269,Mohammed,Whitcomb,Quality Management
12270,Shakhar,Kornyak,Research
12272,Behnaam,Grandbois,Human Resources
12273,Jaideep,Uehara,Sales
12281,Hisao,Langford,Development
12282,Tadahiro,Delgrange,Development
12291,Masamitsu,Koyama,Sales
12298,Tetsurou,Rodham,Research
12298,Tetsurou,Rodham,Development
12308,Mototsugu,Cronau,Finance
12308,Mototsugu,Cronau,Human Resources
12311,Susanne,Lubachevsky,Development
12316,Hyuncheol,Duclos,Production
12317,Weiyi,Crabtree,Production
12317,Weiyi,Crabtree,Customer Service
12327,DAIDA,Bruckman,Development
12328,Atilio,Prampolini,Human Resources
12338,Kagan,Besselaar,Finance
12339,Pranay,Czaja,Research
12341,Rasiah,Luga,Development
12343,Sorina,Slaats,Production
12343,Sorina,Slaats,Customer Service
12355,Vidar,Hutton,Production
12364,Neelam,Cummings,Production
12365,Kamakshi,Bisiani,Production
12368,Gor,Dechter,Marketing
12373,Mooi,Driscoll,Sales
12379,Kazuhisa,Serna,Development
12381,Amalendu,Klerer,Research
12388,Arumugam,Hebert,Development
12388,Arumugam,Hebert,Production
12394,Stevo,Reeken,Quality Management
12395,Sanjit,Felder,Finance
12399,Mihalis,Luga,Sales
12411,Shao,Ibel,Sales
12413,Hugh,Gadepally,Production
12417,Dannz,Spelt,Production
12421,Toshimi,Gulik,Development
12422,Berhard,Demos,Human Resources
12426,Shahaf,Valtorta,Quality Management
12427,Zissis,Daescu,Research
12434,Xumin,Bernardinello,Production
12438,Yongmao,Mondadori,Customer Service
12438,Yongmao,Mondadori,Sales
12450,Sanjeeva,Perng,Development
12452,Hiroyasu,Francisci,Production
12454,Kerryn,Farris,Sales
12464,Shai,Milicic,Sales
12466,Cullen,Nations,Finance
12468,Ioana,Baezner,Human Resources
12475,Filipe,Roison,Development
12480,Tetsushi,Schade,Finance
12487,Mona,Reghbati,Finance
12487,Mona,Reghbati,Human Resources
12488,Etsuo,Gerteisen,Development
12489,Arnould,Munck,Development
12490,Jackson,Muchinsky,Development
12492,Kristinn,Hammerschmidt,Production
12497,Stein,Penz,Sales
12499,Izaskun,Lamba,Sales
12501,Morrie,Matheson,Finance
12502,Danil,VanScheik,Production
12504,Adly,Rosaz,Production
12506,Gay,Rodite,Production
12509,Rutger,Krzyzanowski,Customer Service
12514,Tomofumi,Melter,Development
12515,Pranav,Wilharm,Production
12520,Goetz,Basart,Production
12522,Trygve,Zhang,Production
12523,Tonia,Casley,Sales
12524,Tetsushi,Demeyer,Development
12528,Conor,Cincotta,Customer Service
12534,Yongmao,Gerlach,Production
12537,Avishai,Gonthier,Sales
12537,Avishai,Gonthier,Marketing
12540,Poornachandra,Bresenham,Human Resources
12541,Shih,Nanard,Sales
12542,Kazuhide,Bouloucos,Human Resources
12551,Jeane,Tzvieli,Production
12553,Aral,Vesna,Human Resources
12555,Spyrose,DuCasse,Development
12557,Stafford,Kopetz,Production
12557,Stafford,Kopetz,Quality Management
12558,Danco,Niizuma,Quality Management
12563,Honesty,Ducloy,Development
12564,Remco,Nitsche,Finance
12571,Abdelaziz,Candan,Production
12574,Mong,Gelosh,Development
12586,Oguz,Tasistro,Quality Management
12588,Yagil,Kenevan,Development
12589,Anoosh,Chleq,Development
12590,Gita,Rosenbaum,Sales
12596,Breannda,Roisin,Human Resources
12597,Kazuhito,Petereit,Customer Service
12601,Ghassan,Simkin,Development
12603,Utpal,Roison,Human Resources
12608,Nectarios,Mondadori,Human Resources
12612,Chandrasekaran,Thimonier,Sales
12617,Shawna,Rusterholz,Sales
12623,Raimond,Scharstein,Marketing
12626,Gill,Comyn,Production
12630,Sreekrishna,Falco,Customer Service
12635,Xinyu,Restivo,Production
12635,Xinyu,Restivo,Customer Service
12636,Yuuichi,Debuse,Customer Service
12638,Yuqun,Seiwald,Development
12639,Zeljko,Schapire,Production
12642,Suebskul,Gips,Marketing
12644,Bernt,Jayawardene,Production
12645,Kyoichi,Decaestecker,Sales
12651,Pragnesh,Bael,Sales
12656,Seshu,Morton,Customer Service
12656,Seshu,Morton,Sales
12662,Leucio,Alvarado,Development
12663,Nobuyoshi,Stellhorn,Development
12664,Zhonghua,Parveen,Sales
12664,Zhonghua,Parveen,Customer Service
12666,Stamatina,Prenel,Production
12670,Seongbae,Alameldin,Production
12672,Mayumi,Varman,Quality Management
12680,Bader,Staudhammer,Marketing
12687,Weicheng,Badache,Sales
12689,Luerbio,Boudaillier,Development
12691,Oddvar,Gils,Production
12697,Uri,Brizzi,Human Resources
12707,Gregory,Zastre,Sales
12709,Ronghao,Botman,Development
12715,Honglan,Showalter,Finance
12717,Tzu,Jiafu,Research
12722,Elliott,Cheshire,Finance
12725,Inderjeet,Flexer,Human Resources
12726,Fumitake,Panwar,Development
12729,Nahla,Rahier,Production
12729,Nahla,Rahier,Customer Service
12731,Yongmao,Waymire,Human Resources
12732,Mara,Takanami,Sales
12734,Gil,Frijda,Development
12746,Heekeun,Lunn,Production
12747,Salvador,Atrawala,Production
12747,Salvador,Atrawala,Quality Management
12748,Berry,Kakkar,Quality Management
12753,Kazuhito,Syrotiuk,Production
12754,Ronnie,Tetzlaff,Quality Management
12755,Rildo,Rodite,Human Resources
12761,Hitofumi,Schaad,Sales
12769,Abdelwaheb,Gluchowski,Production
12770,Maik,Benzaken,Sales
12773,Jenwei,Lovengreen,Development
12774,Moon,Asrin,Development
12777,Sreenivas,Cichocki,Sales
12785,Bouchung,Armand,Production
12785,Bouchung,Armand,Customer Service
12786,Weiyi,Schusler,Production
12789,Sanjai,Felcyn,Development
12790,Gunilla,Perl,Sales
12795,Masoud,Fordan,Finance
12796,Saniya,Stanfel,Production
12798,Lillian,Beeson,Sales
12799,Tiina,Businaro,Human Resources
12803,Gad,Boissier,Marketing
12803,Gad,Boissier,Sales
12807,Gretta,Babb,Quality Management
12810,Kristof,Staelin,Development
12815,Sushant,Junot,Research
12819,Mountaz,Gubsky,Production
12821,Arco,Gihr,Research
12821,Arco,Gihr,Development
12828,Oksana,Camurati,Finance
12829,Harngdar,Harbusch,Customer Service
12829,Harngdar,Harbusch,Production
12840,Zhensheng,Ferretti,Development
12843,Yinlin,Heijenga,Development
12848,Kazuhide,Smeets,Development
12851,Kwangyoen,Ramsay,Finance
12855,Mabhin,Murrill,Human Resources
12857,Alagu,Gils,Development
12863,Leif,Matheson,Production
12865,Katsuyuki,Rothe,Research
12868,Berthier,Nanard,Production
12868,Berthier,Nanard,Quality Management
12869,Jacopo,Swiler,Research
